issn_1,issn_2,quartile,title,h_index,category
17595010,17595002,Q1,Nature Reviews Cardiology,201,
16000641,01688278,Q1,Journal of Hepatology,319,
19449208,87551209,Q1,Reviews of Geophysics,207,
17545692,17545706,Q1,Energy and Environmental Science,466,
00014273,,Q1,Academy of Management Journal,396,
10959203,00368075,Q1,Science,1382,
00018392,19303815,Q1,Administrative Science Quarterly,218,
15292908,15292916,Q1,Nature Immunology,452,
1573448X,,Q1,Handbook of Industrial Organization,13,
17568722,,Q1,Journal of Hematology and Oncology,171,
15527425,10944281,Q1,Organizational Research Methods,148,
10970266,01432095,Q1,Strategic Management Journal,351,
2157846X,,Q1,Nature Biomedical Engineering,140,
17595045,17595053,Q1,Nature Reviews Gastroenterology and Hepatology,211,
25225820,,Q1,Nature Reviews Physics,87,
19475454,19475462,Q1,Annual Review of Condensed Matter Physics,96,
15372642,08893365,Q1,NBER Macroeconomics Annual,71,
20972431,26671417,Q1,eScience,63,
01492195,1545861X,Q1,Morbidity and Mortality Weekly Report,274,
15454509,00664154,Q1,Annual Review of Biochemistry,332,
09354956,14320754,Q1,Astronomy and Astrophysics Review,84,
14710048,1471003X,Q1,Nature Reviews Neuroscience,493,
19345909,18759777,Q1,Cell Stem Cell,316,
14764598,,Q1,Molecular Cancer,222,
19457189,0163769X,Q1,Endocrine Reviews,317,
00662313,,Q1,Annals of Mathematics Studies,26,
00015962,,Q1,Acta Mathematica,80,
10974164,10972765,Q1,Molecular Cell,459,
15583597,07351097,Q1,Journal of the American College of Cardiology,512,
14683288,00175749,Q1,Gut,364,
09359648,15214095,Q1,Advanced Materials,675,
17487838,10010602,Q1,Cell Research,232,
00332909,19391455,Q1,Psychological Bulletin,379,
00097322,15244539,Q1,Circulation,691,
01492063,15571211,Q1,Journal of Management,296,
0003486X,,Q1,Annals of Mathematics,145,
19457790,19457782,Q1,American Economic Journal: Applied Economics,117,
18732208,00796425,Q1,Progress in Materials Science,255,
00935301,15375277,Q1,Journal of Consumer Research,234,
18737560,03022838,Q1,European Urology,274,
24682667,,Q1,The Lancet Public Health,106,
1475679X,00218456,Q1,Journal of Accounting Research,179,
16146832,16146840,Q1,Advanced Energy Materials,355,
23742445,23742437,Q1,JAMA Oncology,193,
01637525,15452093,Q1,Annual Review of Public Health,189,
08953309,,Q1,Journal of Economic Perspectives,239,
15454479,00664189,Q1,Annual Review of Fluid Mechanics,231,
15452123,15435008,Q1,Annual Review of Plant Biology,307,
1573692X,15723097,Q1,Review of Finance,83,
24709468,,Q1,Science Immunology,123,
26666758,,Q1,Innovation,55,
23116706,21505551,Q1,Nano-Micro Letters,146,
19411383,19411391,Q1,Annual Review of Economics,84,
17586798,1758678X,Q1,Nature Climate Change,296,
03601285,,Q1,Progress in Energy and Combustion Science,243,
15265455,10477039,Q1,Organization Science,294,
15485951,15485943,Q1,Annual Review of Clinical Psychology,158,
27316092,,Q1,Nature Reviews Bioengineering,27,
19438206,,Q1,Advances in Optics and Photonics,91,
15561380,15560864,Q1,Journal of Thoracic Oncology,190,
19457731,1945774X,Q1,American Economic Journal: Economic Policy,97,
17595037,17595029,Q1,Nature Reviews Endocrinology,224,
03043932,,Q1,Journal of Monetary Economics,158,
00664278,15451585,Q1,Annual Review of Physiology,246,
25208136,25208489,Q1,Electrochemical Energy Reviews,76,
03051048,13624962,Q1,Nucleic Acids Research,675,
14764679,14657392,Q1,Nature Cell Biology,420,
07322399,1526548X,Q1,Marketing Science,159,
25225812,,Q1,Nature Metabolism,92,
01654101,,Q1,Journal of Accounting and Economics,197,
15424774,15424766,Q1,Journal of the European Economic Association,125,
22150374,22150366,Q1,The Lancet Psychiatry,160,
16144961,23673648,Q1,Living Reviews in Solar Physics,74,
00346535,15309142,Q1,Review of Economics and Statistics,211,
2767441X,27674401,Q1,Interdisciplinary Materials,34,
1759507X,17595061,Q1,Nature Reviews Nephrology,177,
19328346,19328354,Q1,Foundations and Trends in Signal Processing,22,
23989629,,Q1,Nature Sustainability,146,
21598274,21598290,Q1,Cancer Discovery,250,
15280012,00165085,Q1,Gastroenterology,482,
17452473,,Q1,Nature Physics,349,
0147006X,15454126,Q1,Annual Review of Neuroscience,269,
26628465,,Q1,Nature Aging,51,
19346069,19313128,Q1,Cell Host and Microbe,255,
27310574,,Q1,Nature Reviews Psychology,33,
0927796X,,Q1,Materials Science and Engineering R: Reports,182,
10886834,08940347,Q1,Journal of the American Mathematical Society,116,
07338716,,Q1,IEEE Journal on Selected Areas in Communications,274,
15228517,15235866,Q1,Neuro-Oncology,178,
00222437,15477193,Q1,Journal of Marketing Research,212,
25152459,25152467,Q1,Advances in Methods and Practices in Psychological Science,49,
10942939,15451577,Q1,Annual Review of Political Science,138,
00920703,15527824,Q1,Journal of the Academy of Marketing Science,221,
20585276,,Q1,Nature Microbiology,157,
10422587,15406520,Q1,Entrepreneurship Theory and Practice,212,
26317877,,Q1,Organization Theory,33,
25897500,,Q1,The Lancet Digital Health,85,
19391854,00219010,Q1,Journal of Applied Psychology,353,
23808195,,Q1,ACS Energy Letters,223,
1545326X,00664219,Q1,Annual Review of Medicine,182,
15308995,10810706,Q1,Annual Review of Cell and Developmental Biology,247,
22132619,22132600,Q1,The Lancet Respiratory Medicine,197,
16181913,00738301,Q1,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,52,
10974199,08966273,Q1,Neuron,548,
19466234,19466242,Q1,Science Translational Medicine,303,
17554330,17554349,Q1,Nature Chemistry,308,
18737811,02727358,Q1,Clinical Psychology Review,269,
14740508,09624929,Q1,Acta Numerica,91,
15210081,00316997,Q1,Pharmacological Reviews,264,
15488004,0022166X,Q1,Journal of Human Resources,129,
19410611,19411405,Q1,Annual Review of Marine Science,133,
19355548,01495992,Q1,Diabetes Care,433,
15602745,18789129,Q1,Fungal Diversity,136,
15452948,00664197,Q1,Annual Review of Genetics,208,
21603308,,Q1,Physical Review X,198,
0734306X,15375307,Q1,Journal of Labor Economics,136,
25233548,,Q1,Cancer Communications,94,
25425196,,Q1,The Lancet Planetary Health,90,
29598753,,Q1,Innovation Geoscience,2,
00925853,15405907,Q1,American Journal of Political Science,215,
02684012,,Q1,International Journal of Information Management,196,
14780895,14780887,Q1,Qualitative Research in Psychology,56,
15582256,00189219,Q1,Proceedings of the IEEE,339,
2666979X,,Q1,Cell Genomics,31,
21686157,21686149,Q1,JAMA Neurology,284,
08839026,,Q1,Journal of Business Venturing,235,
2770596X,27705986,Q1,iMeta,28,
15459993,15459985,Q1,Nature Structural and Molecular Biology,310,
00209910,14321297,Q1,Inventiones Mathematicae,132,
27910091,27908119,Q1,Nano Research Energy,40,
00796700,,Q1,Progress in Polymer Science,346,
26621355,,Q1,Nature Food,76,
22136657,,Q1,Analytic Methods in Accident Research,63,
19411367,19411375,Q1,Annual Review of Financial Economics,49,
10946705,15527379,Q1,Journal of Service Research,156,
24519308,24519294,Q1,Chem,167,
27316084,,Q1,Nature Water,27,
24709476,,Q1,Science Robotics,122,
23806583,23806591,Q1,JAMA Cardiology,127,
20420226,16727681,Q1,Cellular and Molecular Immunology,135,
00846597,,Q1,Annual Review of Earth and Planetary Sciences,187,
25225839,,Q1,Nature Machine Intelligence,94,
2572116X,2214109X,Q1,The Lancet Global Health,153,
17502799,17542189,Q1,Nature Protocols,320,
21600031,15291006,Q1,Psychological Science in the Public Interest,62,
13509462,18731635,Q1,Progress in Retinal and Eye Research,200,
00221007,15409538,Q1,Journal of Experimental Medicine,503,
17594766,17594758,Q1,Nature Reviews Neurology,225,
15280020,00064971,Q1,Blood,540,
15737136,13806653,Q1,Review of Accounting Studies,107,
00088846,,Q1,Cement and Concrete Research,315,
03600300,15577341,Q1,ACM Computing Surveys,232,
15326985,00461520,Q1,Educational Psychologist,163,
24058297,,Q1,Energy Storage Materials,185,
21686238,2168622X,Q1,JAMA Psychiatry,417,
13697021,18734103,Q1,Materials Today,244,
03701573,,Q1,Physics Reports,328,
00034967,14682060,Q1,Annals of the Rheumatic Diseases,300,
00251909,15265501,Q1,Management Science,303,
1474760X,14747596,Q1,Genome Biology,319,
14602105,00278874,Q1,Journal of the National Cancer Institute,394,
26379368,,Q1,Carbon Energy,73,
15452050,15435938,Q1,Annual Review of Environment and Resources,156,
25673165,,Q1,InfoMat,86,
13616633,00344885,Q1,Reports on Progress in Physics,259,
19414927,19414935,Q1,National Center for Health Statistics Data Brief,99,
08938512,10986618,Q1,Clinical Microbiology Reviews,340,
08906955,,Q1,International Journal of Machine Tools and Manufacture,203,
13889842,18790844,Q1,European Journal of Heart Failure,185,
02709139,15273350,Q1,Hepatology,415,
15205126,00027863,Q1,Journal of the American Chemical Society,734,
14337851,15213773,Q1,Angewandte Chemie - International Edition,667,
23973374,,Q1,Nature Human Behaviour,113,
15375943,00030554,Q1,American Political Science Review,215,
15524469,15524450,Q1,Nature Chemical Biology,272,
16742052,17529867,Q1,Molecular Plant,178,
15401413,15401405,Q1,JNCCN Journal of the National Comprehensive Cancer Network,162,
17594790,17594804,Q1,Nature Reviews Rheumatology,198,
10888683,15327957,Q1,Personality and Social Psychology Review,194,
17501326,,Q1,Molecular Neurodegeneration,126,
00222380,14676486,Q1,Journal of Management Studies,233,
09628924,18793088,Q1,Trends in Cell Biology,271,
14744457,14733099,Q1,The Lancet Infectious Diseases,304,
1616301X,,Q1,Advanced Functional Materials,428,
00014842,15204898,Q1,Accounts of Chemical Research,472,
1936878X,18767591,Q1,JACC: Cardiovascular Imaging,169,
00315826,17446570,Q1,Personnel Psychology,175,
27310582,,Q1,Nature Synthesis,41,
10489843,,Q1,Leadership Quarterly,202,
17456916,17456924,Q1,Perspectives on Psychological Science,196,
16748018,1674800X,Q1,Protein and Cell,104,
14680297,00130133,Q1,Economic Journal,194,
14602369,13554786,Q1,Human Reproduction Update,227,
15383598,00987484,Q1,JAMA,794,
26913399,,Q1,PRX Quantum,62,
2047217X,,Q1,GigaScience,98,
13687646,15322084,Q1,Drug Resistance Updates,139,
0002953X,15357228,Q1,American Journal of Psychiatry,405,
03600572,15452115,Q1,Annual Review of Sociology,216,
26665247,,Q1,The Lancet Microbe,53,
19457669,19457685,Q1,American Economic Journal: Microeconomics,58,
22131787,22131779,Q1,JACC: Heart Failure,118,
2666920X,,Q1,Computers and Education: Artificial Intelligence,51,
1543592X,,Q1,"Annual Review of Ecology, Evolution, and Systematics",254,
1741315X,14761270,Q1,Strategic Organization,80,
25897780,,Q1,EnergyChem,50,
18733883,09263373,Q1,Applied Catalysis B: Environmental,353,
15345807,18781551,Q1,Developmental Cell,306,
26667568,,Q1,The Lancet Healthy Longevity,43,
19361238,1936122X,Q1,Annual Review of Biophysics,178,
20445385,,Q1,Blood Cancer Journal,85,
17520908,17520894,Q1,Nature Geoscience,280,
2772834X,,Q1,Advanced Powder Materials,40,
21686211,21686203,Q1,JAMA Pediatrics,231,
1756994X,,Q1,Genome Medicine,133,
00472506,14786990,Q1,Journal of International Business Studies,242,
1073449X,15354970,Q1,American Journal of Respiratory and Critical Care Medicine,436,
15589080,,Q1,Academy of Management Perspectives,165,
17413044,01708406,Q1,Organization Studies,187,
20477538,,Q1,Light: Science and Applications,174,
14321238,03424642,Q1,Intensive Care Medicine,246,
15229645,0195668X,Q1,European Heart Journal,367,
15315088,00208183,Q1,International Organization,168,
24054720,24054712,Q1,Cell Systems,98,
23523026,24519960,Q1,The Lancet Haematology,103,
1082989X,19391463,Q1,Psychological Methods,195,
00333190,14230348,Q1,Psychotherapy and Psychosomatics,123,
00097330,15244571,Q1,Circulation Research,402,
01695347,18728383,Q1,Trends in Ecology and Evolution,396,
13509047,14765403,Q1,Cell Death and Differentiation,271,
15265536,10477047,Q1,Information Systems Research,192,
17437202,17437199,Q1,Health Psychology Review,81,
02614189,14602075,Q1,EMBO Journal,441,
2055026X,20550278,Q1,Nature Plants,148,
25902393,25902385,Q1,Matter,111,
10780432,15573265,Q1,Clinical Cancer Research,392,
17444292,,Q1,Molecular Systems Biology,178,
25775421,,Q1,Advanced Photonics,55,
00905364,,Q1,Annals of Statistics,202,
20411723,,Q1,Nature Communications,577,
21645760,21645744,Q1,Critical Finance Review,14,
24058033,24058025,Q1,Trends in Cancer,101,
01662236,1878108X,Q1,Trends in Neurosciences,326,
03063674,14730480,Q1,British Journal of Sports Medicine,241,
00219738,15588238,Q1,Journal of Clinical Investigation,558,
14602156,00068950,Q1,Brain,391,
10636919,,-,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,601,
00346543,19351046,Q1,Review of Educational Research,198,
00063223,18732402,Q1,Biological Psychiatry,367,
1469896X,09618368,Q1,Protein Science,204,
00664170,15454487,Q1,Annual Review of Entomology,239,
00108545,,Q1,Coordination Chemistry Reviews,329,
21686114,21686106,Q1,JAMA Internal Medicine,403,
20459920,20459939,Q1,Review of Asset Pricing Studies,33,
19493053,,Q1,IEEE Transactions on Smart Grid,253,
13652486,13541013,Q1,Global Change Biology,332,
22112855,,Q1,Nano Energy,277,
15232409,1745493X,Q1,Journal of Supply Chain Management,119,
15494713,01616420,Q1,Ophthalmology,297,
15327663,10577408,Q1,Journal of Consumer Psychology,147,
10463283,1479277X,Q1,European Review of Social Psychology,81,
15376605,00029297,Q1,American Journal of Human Genetics,339,
20013078,,Q1,Journal of Extracellular Vesicles,126,
18731317,02726963,Q1,Journal of Operations Management,228,
26621991,,Q1,PhotoniX,41,
23523018,,Q1,The Lancet HIV,91,
1879307X,13646613,Q1,Trends in Cognitive Sciences,375,
00664227,15453251,Q1,Annual Review of Microbiology,220,
09031936,13993003,Q1,European Respiratory Journal,299,
17590876,17590884,Q1,Wiley Interdisciplinary Reviews: Computational Molecular Science,116,
1936086X,19360851,Q1,ACS Nano,504,
17485908,,Q1,Implementation Science,157,
15265498,15234614,Q1,Manufacturing and Service Operations Management,116,
02767783,21629730,Q1,MIS Quarterly: Management Information Systems,283,
00016322,14320533,Q1,Acta Neuropathologica,227,
14606976,00018732,Q1,Advances in Physics,127,
02782715,15445208,Q1,Health Affairs,224,
00221090,17566916,Q1,Journal of Financial and Quantitative Analysis,156,
15577805,00913367,Q1,Journal of Advertising,140,
15361276,15582248,Q1,IEEE Transactions on Wireless Communications,264,
21682275,21682267,Q1,IEEE Transactions on Cybernetics,208,
15548635,15548627,Q1,Autophagy,202,
09589465,,Q1,Cement and Concrete Composites,233,
17597323,17597331,Q1,Quantitative Economics,39,
01999885,15454312,Q1,Annual Review of Nutrition,184,
01466410,,Q1,Progress in Particle and Nuclear Physics,139,
15361284,,Q1,IEEE Wireless Communications,198,
1040726X,1573336X,Q1,Educational Psychology Review,156,
1469185X,14647931,Q1,Biological Reviews,211,
21986061,,Q1,Current Climate Change Reports,62,
26436728,,Q1,Accounts of Materials Research,51,
2397334X,,Q1,Nature Ecology and Evolution,140,
10471987,14764989,Q1,Political Analysis,89,
23752548,,Q1,Science Advances,288,
18730353,00221996,Q1,Journal of International Economics,171,
26433230,26433249,Q1,Blood Cancer Discovery,32,
09066713,16000757,Q1,Periodontology 2000,161,
10909516,,Q1,Journal of World Business,149,
23524642,,Q1,The Lancet Child and Adolescent Health,81,
15278204,1545293X,Q1,Annual Review of Genomics and Human Genetics,134,
15491277,15491676,Q1,PLoS Medicine,289,
19493029,19493037,Q1,IEEE Transactions on Sustainable Energy,179,
27662098,27668509,Q1,Exploration,42,
20511426,,Q1,Journal for ImmunoTherapy of Cancer,136,
15681637,18729649,Q1,Ageing Research Reviews,181,
15322955,10870792,Q1,Sleep Medicine Reviews,192,
20549369,20957467,Q1,Military Medical Research,53,
00224359,,Q1,Journal of Retailing,168,
00031224,19398271,Q1,American Sociological Review,240,
03057372,15321967,Q1,Cancer Treatment Reviews,172,
17562171,07416261,Q1,RAND Journal of Economics,131,
07350015,15372707,Q1,Journal of Business and Economic Statistics,122,
15523829,00104140,Q1,Comparative Political Studies,134,
23986352,,Q1,npj Digital Medicine,104,
26664984,,Q1,Environmental Science and Ecotechnology,44,
13624326,09680004,Q1,Trends in Biochemical Sciences,309,
00187267,1741282X,Q1,Human Relations,171,
02615177,18793193,Q1,Tourism Management,278,
00852538,15231755,Q1,Kidney International,330,
18726305,15662535,Q1,Information Fusion,179,
21686262,21686254,Q1,JAMA Surgery,214,
20469136,20469128,Q1,Review of Corporate Finance Studies,28,
19324553,,Q1,IEEE Journal on Selected Topics in Signal Processing,152,
20492618,,Q1,Microbiome,163,
20505086,,Q1,"Forum of Mathematics, Pi",23,
01621459,1537274X,Q1,Journal of the American Statistical Association,227,
27310590,,Q1,Nature Cardiovascular Research,26,
00472727,,Q1,Journal of Public Economics,184,
18732194,01637827,Q1,Progress in Lipid Research,178,
26667762,,Q1,The Lancet Regional Health - Europe,55,
15371719,07374038,Q1,Molecular Biology and Evolution,256,
2452199X,,Q1,Bioactive Materials,119,
18663516,18663508,Q1,Earth System Science Data,113,
00491241,15528294,Q1,Sociological Methods and Research,100,
14608545,14682370,Q1,International Journal of Management Reviews,142,
13684221,1368423X,Q1,Econometrics Journal,49,
20954700,20956231,Q1,Bone Research,76,
00014826,15587967,Q1,Accounting Review,206,
26624966,,Q1,Microplastics and Nanoplastics,9,
15454304,03621642,Q1,Annual Review of Pharmacology and Toxicology,230,
26663791,,Q1,Cell Reports Medicine,64,
23270578,2327056X,Q1,Annual Review of Virology,72,
14765578,13594184,Q1,Molecular Psychiatry,261,
17592879,17592887,Q1,Research Synthesis Methods,77,
10963650,1044579X,Q1,Seminars in Cancer Biology,190,
15250024,15250016,Q1,Molecular Therapy,220,
23256826,23256818,Q1,Foundations and Trends in Systems and Control,21,
23973366,,Q1,Nature Astronomy,99,
15495477,08909369,Q1,Genes and Development,489,
12263613,20926413,Q1,Experimental and Molecular Medicine,133,
01936530,,-,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,119,
00664286,15452107,Q1,Annual Review of Phytopathology,195,
00380717,,Q1,Soil Biology and Biochemistry,285,
17517362,17517370,Q1,ISME Journal,251,
00344257,,Q1,Remote Sensing of Environment,371,
16720229,22103244,Q1,"Genomics, Proteomics and Bioinformatics",80,
24723428,,Q1,Annual Review of Cancer Biology,40,
26673452,,Q1,Internet of Things and Cyber-Physical Systems,23,
01638998,,Q1,Annual Review of Nuclear and Particle Science,117,
17553245,00086363,Q1,Cardiovascular Research,251,
03043878,,Q1,Journal of Development Economics,182,
21680949,21680930,Q1,Cambridge Journal of Mathematics,9,
10976825,00916749,Q1,Journal of Allergy and Clinical Immunology,350,
10534822,,Q1,Human Resource Management Review,132,
16103653,16103661,Q1,Environmental Chemistry Letters,144,
01689525,13624555,Q1,Trends in Genetics,253,
25247921,2524793X,Q1,Advanced Fiber Materials,58,
01409883,18736181,Q1,Energy Economics,230,
15477398,00127094,Q1,Duke Mathematical Journal,99,
23659440,,Q1,International Journal of Educational Technology in Higher Education,77,
01628828,,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence,435,
15495469,10889051,Q1,Genome Research,338,
1461023X,14610248,Q1,Ecology Letters,330,
23263601,23263598,Q1,Qualitative Psychology,27,
20777019,20777000,Q1,Mycosphere,47,
13640321,18790690,Q1,Renewable and Sustainable Energy Reviews,464,
14714906,14714981,Q1,Trends in Immunology,265,
01121642,11792035,Q1,Sports Medicine,247,
00072303,15334465,Q1,Brookings Papers on Economic Activity,99,
00085472,15387445,Q1,Cancer Research,510,
01678116,,Q1,International Journal of Research in Marketing,128,
01660616,,Q1,Studies in Mycology,126,
00223514,,Q1,Journal of Personality and Social Psychology,447,
23299266,23299274,Q1,IEEE/CAA Journal of Automatica Sinica,99,
10991379,08943796,Q1,Journal of Organizational Behavior,230,
15557561,19336837,Q1,Theoretical Economics,40,
00338419,15271315,Q1,Radiology,346,
10959068,00941190,Q1,Journal of Urban Economics,139,
20479158,,Q1,Translational Neurodegeneration,67,
00103640,10970312,Q1,Communications on Pure and Applied Mathematics,127,
00431354,18792448,Q1,Water Research,396,
20565968,,Q1,Cell Discovery,68,
1747938X,,Q1,Educational Research Review,117,
26659913,,Q1,The Lancet Rheumatology,61,
15590097,10463976,Q1,Endocrine Pathology,61,
26666359,26666340,Q1,Med,42,
00438871,10863338,Q1,World Politics,132,
23332077,23332050,Q1,Strategy Science,30,
00189286,15582523,Q1,IEEE Transactions on Automatic Control,344,
17577799,17577780,Q1,Wiley Interdisciplinary Reviews: Climate Change,127,
1879016X,01637258,Q1,Pharmacology and Therapeutics,243,
22111247,26391856,Q1,Cell Reports,246,
15476537,10643389,Q1,Critical Reviews in Environmental Science and Technology,157,
23265191,23265205,Q1,Arthritis and Rheumatology,363,
21555435,,Q1,ACS Catalysis,320,
21983844,,Q1,Advanced Science,220,
23974621,,Q1,npj Flexible Electronics,55,
18733735,01656147,Q1,Trends in Pharmacological Sciences,252,
26660873,,Q1,JACC: CardioOncology,42,
09638687,,Q1,Journal of Strategic Information Systems,114,
27668541,26924560,Q1,Aggregate,48,
15333450,10466673,Q1,Journal of the American Society of Nephrology,332,
29499291,,Q1,Biogeotechnics,14,
15318249,03645134,Q1,Annals of Neurology,340,
27668525,2688819X,Q1,SmartMat,43,
0169409X,18728294,Q1,Advanced Drug Delivery Reviews,386,
26667924,,Q1,Advances in Applied Energy,42,
20418213,20418205,Q1,Astrophysical Journal Letters,212,
26671093,26671107,Q1,Chem Catalysis,45,
1532298X,10404651,Q1,Plant Cell,412,
19430264,,Q1,Cold Spring Harbor Perspectives in Biology,251,
13876473,,Q1,New Astronomy Reviews,67,
25735144,,Q1,"Annual Review of Control, Robotics, and Autonomous Systems",46,
0013936X,15205851,Q1,Environmental Science and Technology,504,
2162237X,21622388,Q1,IEEE Transactions on Neural Networks and Learning Systems,269,
00904848,1099050X,Q1,Human Resource Management,122,
24732397,21686831,Q1,IEEE Geoscience and Remote Sensing Magazine,68,
1557928X,07421222,Q1,Journal of Management Information Systems,177,
22872728,2287285X,Q1,Clinical and Molecular Hepatology,65,
25895370,,Q1,eClinicalMedicine,99,
02786125,,Q1,Journal of Manufacturing Systems,120,
23266066,23266074,Q1,Cancer Immunology Research,147,
08858950,,Q1,IEEE Transactions on Power Systems,322,
01054538,13989995,Q1,Allergy: European Journal of Allergy and Clinical Immunology,213,
0012186X,14320428,Q1,Diabetologia,266,
25750348,25750356,Q1,Energy and Environmental Materials,65,
10636706,,Q1,IEEE Transactions on Fuzzy Systems,228,
10990836,09644733,Q1,Business Strategy and the Environment,173,
15209156,15578593,Q1,Diabetes Technology and Therapeutics,109,
19490984,19490976,Q1,Gut Microbes,129,
14643510,00063444,Q1,Biometrika,137,
15525279,15525260,Q1,Alzheimer's and Dementia,178,
13501917,13652575,Q1,Information Systems Journal,114,
15405885,07376782,Q1,Journal of Product Innovation Management,180,
23523964,,Q1,eBioMedicine,136,
22278508,22264108,Q1,Journal of Advanced Ceramics,79,
20597029,,Q1,ESMO Open,70,
27729850,,Q1,Eco-Environment and Health,20,
1471499X,14714914,Q1,Trends in Molecular Medicine,213,
09506608,17432804,Q1,International Materials Reviews,140,
17574676,17574684,Q1,EMBO Molecular Medicine,151,
00071234,14692112,Q1,British Journal of Political Science,121,
20964579,,Q1,Opto-Electronic Advances,52,
23328363,21648344,Q1,National Health Statistics Reports,83,
25903462,,Q1,Plant Communications,48,
25743805,,Q1,JAMA Network Open,154,
15505499,,-,Proceedings of the IEEE International Conference on Computer Vision,397,
07496419,,Q1,International Journal of Plasticity,178,
00260495,15328600,Q1,Metabolism: Clinical and Experimental,174,
18767605,19368798,Q1,JACC: Cardiovascular Interventions,163,
25895559,,Q1,JHEP Reports,55,
17443210,09588221,Q1,Computer Assisted Language Learning,86,
15409295,15409309,Q1,Frontiers in Ecology and the Environment,209,
15427714,15423565,Q1,Clinical Gastroenterology and Hepatology,220,
25903330,25903322,Q1,One Earth,73,
01482963,,Q1,Journal of Business Research,292,
07426046,15206793,Q1,Psychology and Marketing,154,
1089778X,,Q1,IEEE Transactions on Evolutionary Computation,222,
00906778,15580857,Q1,IEEE Transactions on Communications,247,
22113843,22113835,Q1,Acta Pharmaceutica Sinica B,123,
